video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_1013,IsDeno24,https://www.youtube.com/watch?v=UHAhq3lIJXc,CC-BY 3.0,36,TRUE,0,0,0,0,0,74,0,0,706,15,0,191,0,0,0,15,0,0,0.8,indifference,98,-795,191,286
VID_1014,Bitcoin and Cryptocurrency Technologies Online Course,https://www.youtube.com/watch?v=q5GWwTgRIT4,CC-BY 3.0,38,FALSE,0,0,0,0,0,235,0,0,691,0,0,59,0,0,0,15,0,0,836,indifference,147,-0.69,252,314
VID_1015,He Spoke Style,https://www.youtube.com/watch?v=lAmE6_4Y-eU,CC-BY 3.0,41,FALSE,0,0,0,0,0,132,0,0,671,0,26,79,0,0,0,92,0,0,755,indifference,224,-821,274,275
VID_1016,Maxkil,https://www.youtube.com/watch?v=Y9CrKsfg0lQ,CC-BY 3.0,47,FALSE,0,15,15,0,0,279,0,0,456,15,15,103,0,0,0,103,0,0,624,indifference,397,-534,346,298
VID_1017,Mark Johnson,https://www.youtube.com/watch?v=2hUt1OGAel8,CC-BY 3.0,12,TRUE,0,0,0,0,0,0,0,0,719,16,0,219,0,0,0,31,0,16,816,indifference,83,-674,208,272
VID_1018,George Phillies,https://www.youtube.com/watch?v=mVzrYKkeJzE,CC-BY 3.0,58,FALSE,14,27,14,0,0,0,0,0,797,14,14,108,0,0,0,0,0,14,742,indifference,67,-746,0.24,234
VID_1019,Language Tutor Online,https://www.youtube.com/watch?v=kllsFlyaJss,CC-BY 3.0,19,FALSE,0,0,0,0,0,82,0,0,699,27,14,178,0,0,0,0,0,0,788,indifference,84,-776,196,342
VID_1020,Mark Johnson,https://www.youtube.com/watch?v=uSyghtb7d8E,CC-BY 3.0,20,TRUE,0,0,0,0,14,0,0,0,783,0,0,203,0,0,0,0,0,0,909,indifference,62,-782,97,295
VID_1021,sanderson1611,https://www.youtube.com/watch?v=4QmPaecjOx0,CC-BY 3.0,33,FALSE,0,0,0,0,0,41,0,0,635,0,41,216,0,14,0,54,0,0,727,indifference,177,-792,244,361
VID_1022,UCI Open,https://www.youtube.com/watch?v=T7qI2hBmRTE,CC-BY 3.0,56,FALSE,15,0,15,0,0,76,0,0,864,0,0,15,0,0,0,15,0,0,0.83,indifference,-179,-708,264,383
VID_1023,Mark Johnson,https://www.youtube.com/watch?v=ZoG32-TAHKA,CC-BY 3.0,16,FALSE,15,0,0,0,0,15,0,0,618,0,0,324,0,0,0,15,0,15,784,indifference,175,-862,235,269
